SCHOOL NAME,Num of SAT Test Takers,Critical Reading Avg Score,Math Avg. Score,Writing Avg. Score
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354
PARK SLOPE COLLEGIATE,72,379,416,380
WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364
FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,341
NEW WORLD HIGH SCHOOL,72,332,381,335
INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291
YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,395,399
EAST SIDE COMMUNITY SCHOOL,70,377,402,370
"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441
"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390
CIVIC LEADERSHIP ACADEMY,69,404,429,407
TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388
BRONX ACADEMY OF HEALTH CAREERS,69,387,365,383
INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329
"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432
QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400
ACADEMY FOR YOUNG WRITERS,68,387,357,381
"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,356
WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370
BRONX THEATRE HIGH SCHOOL,68,348,362,354
MILLENNIUM ART ACADEMY,67,387,402,375
MOTT HALL BRONX HIGH SCHOOL,67,369,367,356
ACADEMY OF URBAN PLANNING,67,342,364,354
PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340
SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515
HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402
WINGS ACADEMY,66,378,374,362
MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344
BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348
SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,392
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400,419,402
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391
WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481
BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373
