"SCHOOL_NAME","NUM_TAKERS","CR_AVG","MATH_AVG","WRITING_AVG"
"ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT",9,439,374,418
"ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL",48,369,369,357
"ACADEMY OF FINANCE AND ENTERPRISE",89,405,454,421
"ACADEMY OF HOSPITALITY AND TOURISM",57,352,342,351
"ACADEMY OF INNOVATIVE TECHNOLOGY",60,371,371,354
"ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL",36,367,379,348
"ACADEMY OF URBAN PLANNING",67,342,364,354
"ACORN COMMUNITY HIGH SCHOOL",72,384,364,368
"ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",76,394,400,364
"ALL CITY LEADERSHIP SECONDARY SCHOOL",39,428,465,422
"ART AND DESIGN HIGH SCHOOL",270,444,441,430
"ARTS & MEDIA PREPARATORY ACADEMY",48,361,360,359
"ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX",14,380,372,349
"ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL",7,311,371,311
"ASTOR COLLEGIATE ACADEMY",60,387,391,391
"AUGUST MARTIN HIGH SCHOOL",101,377,371,360
"AUTOMOTIVE HIGH SCHOOL",94,367,376,350
"AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL",396,445,496,423
"BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION",61,524,568,544
"BANANA KELLY HIGH SCHOOL",54,373,381,377
"BARD HIGH SCHOOL EARLY COLLEGE",130,624,604,628
"BARD HIGH SCHOOL EARLY COLLEGE II",155,545,568,550
"BARUCH COLLEGE CAMPUS HIGH SCHOOL",104,496,563,518
"BAYARD RUSTIN EDUCATIONAL COMPLEX",59,378,365,368
"BAYSIDE HIGH SCHOOL",708,462,523,464
"BEACH CHANNEL HIGH SCHOOL",78,384,396,354
"BEACON HIGH SCHOOL",261,577,575,592
"BEDFORD ACADEMY HIGH SCHOOL",89,438,443,431
"BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL",13,398,391,394
"BELMONT PREPARATORY HIGH SCHOOL",51,404,418,400
"BENJAMIN BANNEKER ACADEMY",185,471,472,448
"BENJAMIN N. CARDOZO HIGH SCHOOL",888,480,545,489
"BOYS AND GIRLS HIGH SCHOOL",131,365,370,362
"BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL",61,369,361,355
"BRONX ACADEMY OF HEALTH CAREERS",69,387,365,383
"BRONX ACADEMY OF LETTERS",51,413,381,407
"BRONX AEROSPACE HIGH SCHOOL",46,388,393,382
"BRONX CENTER FOR SCIENCE AND MATHEMATICS",81,459,480,457
"BRONX COMMUNITY HIGH SCHOOL",9,367,369,376
"BRONX ENGINEERING AND TECHNOLOGY ACADEMY",86,373,412,365
"BRONX EXPEDITIONARY LEARNING HIGH SCHOOL",39,324,376,349
"BRONX GUILD",39,369,371,365
"BRONX HEALTH SCIENCES HIGH SCHOOL",74,370,381,382
"BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE",65,366,364,352
"BRONX HIGH SCHOOL FOR MEDICAL SCIENCE",64,400,419,402
"BRONX HIGH SCHOOL FOR THE VISUAL ARTS",48,419,433,416
"BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS",46,400,357,390
"BRONX HIGH SCHOOL OF BUSINESS",34,356,376,351
"BRONX HIGH SCHOOL OF SCIENCE",731,632,688,649
"BRONX INTERNATIONAL HIGH SCHOOL",49,314,312,339
"BRONX LAB SCHOOL",81,377,391,367
"BRONX LATIN",36,408,432,411
"BRONX LEADERSHIP ACADEMY HIGH SCHOOL",114,384,394,388
"BRONX LEADERSHIP ACADEMY II HIGH SCHOOL",62,362,378,363
"BRONX REGIONAL HIGH SCHOOL",16,398,385,398
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402
"BRONX SCHOOL OF LAW AND FINANCE",54,402,395,385
"BRONX THEATRE HIGH SCHOOL",68,348,362,354
"BROOKLYN ACADEMY HIGH SCHOOL",8,435,383,379
"BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT",63,388,382,373
"BROOKLYN BRIDGE ACADEMY",17,384,362,351
"BROOKLYN COLLEGE ACADEMY",131,456,456,440
"BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL",60,389,409,387
"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,384
"BROOKLYN DEMOCRACY ACADEMY",11,349,338,331
"BROOKLYN GENERATION SCHOOL",29,374,377,394
"BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY",46,362,372,358
"BROOKLYN HIGH SCHOOL OF THE ARTS",141,426,421,411
"BROOKLYN INTERNATIONAL HIGH SCHOOL",90,305,364,312
"BROOKLYN LAB SCHOOL",57,360,385,363
"BROOKLYN LATIN SCHOOL, THE",72,586,584,570
"BROOKLYN PREPARATORY HIGH SCHOOL",42,367,373,350
"BROOKLYN SCHOOL FOR GLOBAL STUDIES",52,361,367,383
"BROOKLYN SCHOOL FOR MUSIC & THEATRE",48,385,393,373
"BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES",76,393,399,387
"BROOKLYN STUDIO SECONDARY SCHOOL",119,429,449,435
"BROOKLYN TECHNICAL HIGH SCHOOL",1277,587,659,587
"BROOKLYN THEATRE ARTS HIGH SCHOOL",54,383,358,377
"BROWNSVILLE ACADEMY HIGH SCHOOL",16,372,356,335
"BUSHWICK COMMUNITY HIGH SCHOOL",24,359,317,358
"BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE",23,347,358,350
"BUSHWICK SCHOOL FOR SOCIAL JUSTICE",75,348,353,334
"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359
"CASCADES HIGH SCHOOL",18,417,418,411
"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427
"CENTRAL PARK EAST HIGH SCHOOL",73,405,421,395
"CHANNEL VIEW SCHOOL FOR RESEARCH",74,432,419,401
"CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",83,399,418,390
"CHOIR ACADEMY OF HARLEM",20,354,360,385
"CHRISTOPHER COLUMBUS HIGH SCHOOL",121,367,361,353
"CITY COLLEGE ACADEMY OF THE ARTS",60,408,446,416
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413
"CIVIC LEADERSHIP ACADEMY",69,404,429,407
"CLARA BARTON HIGH SCHOOL",259,425,413,413
"COALITION SCHOOL FOR SOCIAL CHANGE",48,354,357,373
"COBBLE HILL SCHOOL OF AMERICAN STUDIES",77,398,402,385
"COLLEGIATE INSTITUTE FOR MATH AND SCIENCE",97,444,471,433
